t,I
10,-0.0147236725886462
15,-0.0147236725886462
20,-0.0147236725886462
25,-0.0147236725886462
30.0000000000001,-0.0147236725886462
35.0000000000001,-0.0147236725886462
40,-0.0147236725886462
45,-0.0147236725886462
50,-0.0147236725886462
55,-0.0147236725886462
60,-0.0147236725886462
65,-0.0147236725886462
70.0000000000001,-0.0147236725886462
75.0000000000001,-0.0147236725886462
80.0000000000001,-0.0147236725886462
85,-0.0147236725886462
90,-0.0147236725886462
95,-0.0147236725886462
100,-0.0147236725886462
105,-0.0147236725886462
110,-0.0147236725886426
115,-0.0147236725885778
120,-0.0147236725881044
125,-0.014723672596773
130,-0.0147236725851876
135,-0.0147236713148375
140,-0.0147236431452873
145,-0.0147231650322732
150,-0.0147199196081305
155,-0.0147678506110127
160,-0.00991184405017886
165,-0.00450761785306941
170,0.000151137873620755
175,-0.00500532868699199
180,-0.00819087040996269
185,-0.00666319783450131
190,-0.013221065346265
197.369516802718,-0.0112108772576685
199.322995199224,-1.93977166832715
202.089074334044,-0.169776070396636
205,-0.123753968199426
210,-0.0827667908177219
215,-0.0663467480040634
220,-0.0543681123845134
225,-0.0543367109245434
230,-0.0543300380040144
235,-0.0543261040176475
240,-0.0543931085869431
245,-0.0493528148127629
250,-0.044371132940884
255,-0.0444205465966308
260,-0.0444526668180343
265,-0.0446078643630701
270,-0.0343831574550864
275,-0.034529336803792
280,-0.0345280642302761
285,-0.0345268689019926
290,-0.034526692586998
295,-0.0345266717846968
300,-0.0345266711987708
305,-0.03452667121429
310,-0.0345266712136692
315,-0.0345266712134666
320,-0.0345266712134373
325,-0.0345266712134373
330,-0.0345266712134373
335,-0.0345266712134373
340,-0.034526671213416
345,-0.0345266712130297
350,-0.0345266712105605
355,-0.0345266712735413
360,-0.0345266712989298
365,-0.034526664346628
370,-0.0345264974764667
375,-0.0345235813904701
380,-0.0345006316971785
385,-0.0348686397554134
390,-0.0340593119572938
395,-0.0299550805498372
398.307487998059,1.99677902283807
400.112978561154,1.86184331494615
405,1.7635399600372
410,1.73907544824425
415,1.71469547157323
420,1.69109906735976
425,1.66719291535692
430,1.65068236710108
435,1.63606983071757
440,1.61677303981273
445,1.59888483509327
450,1.58241586068221
455,1.56564721192945
460,1.54684460591107
465,1.53370772519754
470,1.51432128948945
475,1.49754094396724
480,1.47872799649725
485,1.45931551210952
490,1.44240312682457
495,1.42517959240921
500,1.41018264376613
505,1.39129921816302
510,1.37474712756825
515,1.35852061142704
520,1.34247423566816
525,1.32630667978122
530,1.31660301521462
535,1.29991167665519
540,1.29020890459562
545,1.27616265199272
550,1.2662643295016
555,1.25981908127411
560,1.24501139998273
565,1.24274970832548
570,1.24074906730227
575,1.22959244289576
580,1.22347926434551
585,1.21598617098537
590,1.2085857748022
595,1.20443769668392
598.984492798836,-1.95862498425026
605,-1.95836987504666
610,-1.95644281358676
615,-1.94792719071367
620,-1.94053042985259
625,-1.91795784432964
630,-1.8684248914423
635,-1.69872595064894
636.049151631744,-1.36001773049645
640,-1.07733134785889
645,-0.899831722783449
650,-0.777919894163301
655,-0.694254645076087
660,-0.629551137080834
665,-0.575174624754527
670,-0.525377850983904
675,-0.48896134046635
680,-0.455953681406905
685,-0.424910766942002
690,-0.396489270952386
695,-0.374927005613423
700,-0.355249633896517
705,-0.336158464242477
710,-0.314604204818894
715,-0.301003764011159
720,-0.285657700086541
725,-0.269558810473122
730,-0.259314381267167
735,-0.244872754437306
740,-0.24034160496666
745,-0.226319201000783
750,-0.213642249716422
755,-0.206594949538586
760,-0.197485855075316
765,-0.188042195590078
770,-0.183058082063558
775,-0.176739679943115
780,-0.164041465966891
785,-0.163259191348597
790,-0.160351261100837
796.160787015373,-0.149254662463882
