tr,ir,tf,if
2.90175976939347,-2.95461240127501,1.47043195547298,3.03118450577115
3.94543630037735,-2.68684608580508,4.81019685462098,2.81204731174112
4.15417160657412,-2.47517459519912,9.58128956769002,2.56764488828175
4.34393097584392,-1.97205747236368,13.338525079232,2.34702529558622
4.57164221896767,-2.26703722894785,17.095760590774,2.1146754177985
5.15610107631864,-1.61014126378489,20.1015490000081,1.91977221934355
5.88369271506168,-1.13319560619012,24.610231613858,1.70321310994917
6.24152466854187,-1.36230139414465,30.037349574974,1.5044750105987
7.80008162147781,-0.743904826207356,37.969291210452,1.32964864624386
14.5909369164129,-0.455674963941975,47.15364468311,1.23531418571221
22.1054079394968,-0.301927371125184,56.337998155768,1.19347890321557
31.2897614121549,-0.214155307847915,65.522351628426,1.1852759066476
40.474114884813,-0.167671660629424,74.706705101084,1.1852759066476
49.6584683574711,-0.13622684045221,83.891058573742,1.20168189978354
58.8428218301292,-0.11489904937549,93.0754120464,1.20824429703792
68.0271753027873,-0.0952118576123642,102.259765519058,1.21972849223307
77.2115287754453,-0.0870088610443949,111.444118991716,1.23531418571221
86.3958822481035,-0.0604858388079617,120.628472464375,1.25007957953456
95.5802357207616,-0.049275076831738,129.812825937033,1.26156377472972
104.76458919342,-0.0427126795773622,138.997179409691,1.27550886889526
113.948942666078,-0.0418923799205659,148.181532882349,1.29027426271761
123.133296138736,-0.0418923799205659,157.365886355007,1.30750055551034
132.317649611394,-0.0418923799205659,166.550239827665,1.32144564967589
141.502003084052,-0.0418923799205659,175.734593300323,1.34359374040941
150.68635655671,-0.0418923799205659,184.918946772981,1.36410123182933
159.870710029368,-0.0418923799205659,194.103300245639,1.38296812393566
169.055063502026,-0.0418923799205659,203.287653718297,1.40101471638519
178.239416974684,-0.0433689193027993,212.472007190956,1.42316280711871
187.423770447343,-0.0428767395087215,221.656360663614,1.43874850059785
196.608123920001,-0.0428767395087215,230.840714136272,1.45351389442019
205.792477392659,-0.0432868893371197,240.02506760893,1.46827928824254
214.976830865317,-0.0418923799205659,249.209421081588,1.48468528137847
224.161184337975,-0.0353299826661901,258.393774554246,1.50027097485761
233.345537810633,-0.0352316217799134,267.578128026904,1.51421606902316
242.529891283291,-0.0352316217799134,276.762481499562,1.5306220621591
251.714244755949,-0.0352316217799134,285.94683497222,1.54374685666785
260.898598228607,-0.0353299826661901,295.131188444878,1.55277015289262
270.082951701265,-0.0352316217799134,304.315541917537,1.56999644568535
279.267305173924,-0.0352316217799134,313.499895390195,1.5839415398509
288.451658646582,-0.0352316217799134,322.684248862853,1.60034753298684
297.63601211924,-0.0352316217799134,331.868602335511,1.61347232749559
306.820365591898,-0.0352316217799134,341.052955808169,1.62085502440676
316.004719064556,-0.0368722210935069,350.237309280827,1.63233921960192
325.189072537214,-0.0352316217799134,359.421662753485,1.64710461342426
334.373426009872,-0.0352316217799134,368.606016226143,1.66022940793301
343.55777948253,-0.034411322123117,377.790369698801,1.67253390278496
352.742132955188,-0.0335910224663198,386.974723171459,1.68319779832332
361.926486427846,-0.0352316217799134,396.159076644118,1.69714289248887
371.110839900504,-0.0352316217799134,405.343430116776,1.70944738734083
380.295193373163,-0.0352316217799134,414.527783589434,1.72093158253598
389.479546845821,-0.0352316217799134,423.712137062092,1.72831427944715
398.663900318479,-0.0385128204071012,432.89649053475,1.73897817498551
407.848253791137,-0.0352316217799134,442.080844007408,1.75374356880786
417.032607263795,-0.0352316217799134,451.265197480066,1.76276686503262
426.216960736453,-0.0328690836957994,460.449550952724,1.77507135988458
435.401314209111,-0.0328690836957994,469.633904425382,1.79147735302052
444.585667681769,-0.0328690836957994,478.81825789804,1.79886004993169
453.770021154427,-0.0328690836957994,488.350503547693,1.80261975669201
462.954374627086,-0.0328690836957994,497.186964843357,1.80788334615645
472.138728099744,-0.0352316217799134,503.50866268817,1.80659430383863
479.491538229072,-0.03529972103152,,
486.25088143447,-0.0344287949921922,,
499.314999496323,-0.0344287949921922,,
